City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Talaya,RU,61.3833,152.75,-12.98,98,100,4.18,light snow
109,Tiksi,RU,71.6872,128.8694,-5.06,97,100,6.58,overcast clouds
110,Barrow,US,71.2906,-156.7887,28.42,86,20,10.36,few clouds
111,Cairns,AU,-16.9167,145.7667,89.11,64,12,5.75,few clouds
112,Sol-Iletsk,RU,51.1631,54.9918,29.71,83,100,17.0,snow
113,Esperance,AU,-33.8667,121.9,57.7,70,66,14.36,broken clouds
114,Kavieng,PG,-2.5744,150.7967,83.97,66,100,11.21,overcast clouds
115,Saint-Philippe,RE,-21.3585,55.7679,69.39,73,30,5.7,scattered clouds
116,Provideniya,RU,64.3833,-173.3,33.91,93,100,15.99,fog
117,Vardo,NO,70.3705,31.1107,40.98,75,100,11.5,overcast clouds
118,Skibotn,NO,69.3913,20.2679,34.75,38,40,9.13,scattered clouds
119,Mayya,RU,61.7333,130.2811,-17.28,98,100,3.6,overcast clouds
120,Fortuna,US,40.5982,-124.1573,55.92,84,0,11.5,clear sky
121,Belousovka,KZ,50.1339,82.5239,16.65,79,75,4.47,light snow
122,Gornozavodsk,RU,58.3758,58.3211,2.21,97,6,1.45,clear sky
123,Dikson,RU,73.5069,80.5464,2.93,95,100,16.82,light snow
124,Yeniseysk,RU,58.4497,92.1703,-8.41,96,14,2.66,few clouds
125,Kahului,US,20.8947,-156.47,87.82,71,20,19.57,few clouds
126,Guerrero Negro,MX,27.9769,-114.0611,74.35,26,0,8.34,clear sky
127,Port Said,EG,31.2565,32.2841,66.18,82,0,3.44,clear sky
128,Bambous Virieux,MU,-20.3428,57.7575,68.22,88,20,6.91,few clouds
129,Yulara,AU,-25.2406,130.9889,77.05,61,2,16.89,clear sky
130,Chatra,IN,24.2167,84.8667,55.45,58,6,1.77,clear sky
131,Hirara,JP,24.8,125.2833,75.47,94,20,3.44,few clouds
132,Alta,NO,69.9689,23.2717,15.06,73,0,3.44,clear sky
133,Upernavik,GL,72.7868,-56.1549,10.63,74,100,5.93,overcast clouds
134,Cherskiy,RU,68.75,161.3,-17.54,100,100,7.34,overcast clouds
135,Veisiejai,LT,54.1,23.7,28.2,94,100,5.59,light snow
136,East London,ZA,-33.0153,27.9116,66.56,89,100,2.37,light rain
137,Vestmannaeyjar,IS,63.4427,-20.2734,46.45,83,74,17.83,light rain
138,Meadow Lake,US,34.8014,-106.5436,49.14,24,0,2.15,clear sky
139,Alexander City,US,32.944,-85.9539,41.49,42,0,4.61,clear sky
140,Batticaloa,LK,7.7102,81.6924,72.09,84,100,10.98,overcast clouds
141,Port Hawkesbury,CA,45.6169,-61.3485,38.88,80,100,18.41,overcast clouds
142,Mar Del Plata,AR,-38.0023,-57.5575,60.82,87,0,15.01,clear sky
143,Tamala,RU,52.541,43.2515,32.56,100,100,4.61,overcast clouds
144,Namtsy,RU,62.7161,129.6658,-12.15,97,100,5.84,overcast clouds
145,Flinders,AU,-34.5833,150.8552,67.17,57,3,3.0,clear sky
146,Gorom-Gorom,BF,14.4439,-0.2361,76.42,15,29,9.46,scattered clouds
147,Fare,PF,-16.7,-151.0167,79.38,73,35,3.89,light rain
148,Kodiak,US,57.79,-152.4072,42.31,93,100,10.36,mist
149,Arvika,SE,59.6553,12.5852,32.61,76,57,7.38,broken clouds
150,Kaa-Khem,RU,51.6833,94.7333,3.54,87,83,4.09,broken clouds
151,Estevan,CA,49.1334,-102.9842,5.34,78,0,17.27,clear sky
152,Carnarvon,AU,-24.8667,113.6333,64.9,61,99,18.59,overcast clouds
153,Portland,US,45.5234,-122.6762,49.6,53,0,26.46,clear sky
154,Chuhar Kana,PK,31.75,73.8,57.69,35,0,4.03,clear sky
155,Pingliang,CN,35.5392,106.6861,42.62,42,100,13.24,overcast clouds
156,Asfi,MA,32.2994,-9.2372,66.47,86,26,4.38,scattered clouds
157,Bitung,ID,1.4451,125.1824,81.45,76,97,2.33,overcast clouds
158,Severo-Kurilsk,RU,50.6789,156.125,34.66,68,100,14.58,overcast clouds
159,Saint-Pierre,RE,-21.3393,55.4781,69.48,60,0,9.22,clear sky
160,Kampot,KH,10.6167,104.1833,75.25,89,100,3.91,overcast clouds
161,Meulaboh,ID,4.1363,96.1285,74.48,89,100,3.76,overcast clouds
162,Maswa,TZ,-2.6833,33.9833,65.07,89,100,5.73,light rain
163,Baykit,RU,61.67,96.37,-26.1,100,54,2.15,broken clouds
164,Moerai,PF,-22.4333,-151.3333,72.3,71,62,9.33,broken clouds
165,Kaitangata,NZ,-46.2817,169.8464,57.2,78,100,4.85,overcast clouds
166,Namibe,AO,-15.1961,12.1522,69.26,82,28,3.98,scattered clouds
167,Rocha,UY,-34.4833,-54.3333,63.25,85,87,2.51,light rain
168,Port Elizabeth,ZA,-33.918,25.5701,63.1,94,75,3.44,broken clouds
169,China,MX,25.7,-99.2333,51.55,54,100,6.51,overcast clouds
170,Egvekinot,RU,66.3167,-179.1667,28.11,99,100,4.41,snow
171,Rio Grande,BR,-32.035,-52.0986,66.31,65,56,7.83,broken clouds
172,Qaqortoq,GL,60.7167,-46.0333,16.45,83,98,4.36,overcast clouds
173,Misterbianco,IT,37.5341,14.9538,60.48,86,0,8.05,clear sky
174,Menongue,AO,-14.6585,17.691,65.23,73,32,4.79,scattered clouds
175,Isangel,VU,-19.55,169.2667,86.11,84,75,5.75,broken clouds
176,Hermanus,ZA,-34.4187,19.2345,56.8,63,100,5.39,overcast clouds
177,Makakilo City,US,21.3469,-158.0858,83.44,62,0,12.66,clear sky
178,Watsa,CD,3.0372,29.5355,64.62,97,82,2.1,broken clouds
179,Te Horo,NZ,-40.8084,175.1233,70.81,72,33,3.0,scattered clouds
180,Camacha,PT,33.0833,-16.3333,65.62,77,40,8.05,scattered clouds
181,Lososina,RU,48.9975,140.3106,24.82,68,61,2.62,broken clouds
182,Bredasdorp,ZA,-34.5322,20.0403,59.59,63,100,1.28,overcast clouds
183,Steamboat Springs,US,40.485,-106.8317,29.93,58,100,6.91,overcast clouds
184,Pandan,PH,14.0453,124.1694,79.38,89,100,10.65,overcast clouds
185,Teguldet,RU,57.3064,88.1667,-5.85,97,24,1.16,few clouds
186,Namatanai,PG,-3.6667,152.4333,83.64,64,97,7.25,overcast clouds
187,Ruteng,ID,-8.6136,120.4721,67.82,84,89,0.81,overcast clouds
188,Ugoofaaru,MV,5.6667,73.0,81.21,75,96,9.19,overcast clouds
189,Ketchikan,US,55.3422,-131.6461,45.07,57,0,0.0,clear sky
190,Pemba,MZ,-12.974,40.5178,78.04,78,61,10.87,broken clouds
191,Moratuwa,LK,6.773,79.8816,69.82,81,100,11.39,overcast clouds
192,Kindu,CD,-2.95,25.95,68.76,99,100,1.41,light rain
193,Ilhabela,BR,-23.7781,-45.3581,71.19,75,54,4.99,broken clouds
194,Ghanzi,BW,-21.5667,21.7833,78.39,25,0,7.81,clear sky
195,Terney,RU,45.0503,136.6092,32.63,67,99,2.75,overcast clouds
196,Zhezkazgan,KZ,47.8043,67.7144,22.44,84,100,8.75,overcast clouds
