City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,Khorramshahr,30.4397,48.1664,64.36,77,0,2.3,IR,2022-11-14 20:19:59
164,Kralendijk,12.15,-68.2667,85.98,74,40,13.8,BQ,2022-11-14 20:19:59
165,Popondetta,-8.7537,148.2534,73.31,91,100,2.95,PG,2022-11-14 20:19:59
166,Souillac,-20.5167,57.5167,73.78,56,75,11.5,MU,2022-11-14 20:19:50
167,Nikolskoye,59.7035,30.7861,33.8,93,100,5.3,RU,2022-11-14 20:20:00
168,Omsukchan,62.5333,155.8,-10.46,76,9,2.8,RU,2022-11-14 20:20:00
169,Amahai,-3.3333,128.9167,79.68,84,100,2.62,ID,2022-11-14 20:20:00
170,Waingapu,-9.6567,120.2641,80.15,82,97,2.84,ID,2022-11-14 20:20:01
171,Klaksvik,62.2266,-6.589,50.92,92,100,29.06,FO,2022-11-14 20:13:20
172,Cabedelo,-6.9811,-34.8339,81.27,74,35,11.61,BR,2022-11-14 20:20:01
173,Sembakung,3.8167,117.25,72.37,98,100,2.26,ID,2022-11-14 20:12:07
174,Nantucket,41.2835,-70.0995,46.54,54,0,10.36,US,2022-11-14 20:20:01
175,Muros,42.7762,-9.0603,60.84,83,100,22.55,ES,2022-11-14 20:20:02
176,Ucluelet,48.9329,-125.5528,44.1,93,1,1.01,CA,2022-11-14 20:15:11
177,Verkhnyaya Sinyachikha,57.976,61.6673,14.56,91,100,12.66,RU,2022-11-14 20:20:03
178,Gravdal,68.1214,13.5031,37.29,87,20,3.44,NO,2022-11-14 20:20:03
179,Fare,-16.7,-151.0167,78.57,78,95,9.13,PF,2022-11-14 20:21:03
180,Mount Isa,-20.7333,139.5,69.57,35,100,10.36,AU,2022-11-14 20:11:59
181,Filadelfia,39.9523,-75.1638,48.38,41,40,9.22,US,2022-11-14 20:20:40
182,Sola,-13.8833,167.55,80.73,70,0,1.63,VU,2022-11-14 20:21:04
183,Kamenka,51.3223,42.7678,27.86,64,6,10.94,RU,2022-11-14 20:21:04
184,Soc Trang,9.6033,105.98,76.84,92,100,6.55,VN,2022-11-14 20:18:19
185,Provideniya,64.3833,-173.3,25.3,88,100,10.04,RU,2022-11-14 20:19:10
186,Hofn,64.2539,-15.2082,44.92,84,100,11.72,IS,2022-11-14 20:21:05
187,Meulaboh,4.1363,96.1285,75.06,92,100,4.56,ID,2022-11-14 20:21:06
188,Narrabri,-30.3167,149.7833,61.52,83,0,0.78,AU,2022-11-14 20:21:06
189,Inyonga,-6.7167,32.0667,67.91,88,69,0.92,TZ,2022-11-14 20:21:06
190,Georgetown,5.4112,100.3354,78.73,96,20,5.75,MY,2022-11-14 20:16:43
191,Terrace,54.5163,-128.6035,35.51,80,100,6.91,CA,2022-11-14 20:20:17
192,Laguna,38.421,-121.4238,63.64,53,0,5.75,US,2022-11-14 20:11:59
193,East London,-33.0153,27.9116,66.79,76,24,18.61,ZA,2022-11-14 20:17:58
